ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1024,374.162691,1614217,1000000,8
2048,451.453502,1505088,1000000,11
4096,497.460657,1652560,1000000,16
8192,533.968855,1570992,1000000,22
16384,530.575914,1778668,1000000,32
32768,498.786752,1943533,1000000,45
65536,523.033210,1926611,1000000,64
131072,580.693893,1747946,1000000,90
262144,583.651980,1782654,1000000,128
524288,546.505448,1921151,1000000,181
1048576,560.453941,1886025,1000000,256
2097152,564.804119,1879737,1000000,362
4194304,561.571475,1897122,1000000,512
8388608,540.834863,1973966,1000000,724
16777216,541.527848,1975063,1000000,1024
33554432,515.685164,1037987,1000000,1448
67108864,473.340902,1132002,1000000,2048
134217728,507.328709,1056544,1000000,2896
268435456,464.718323,1154133,1000000,4096
536870912,495.015657,1083573,1000000,5792
1073741824,421.600752,1272789,1000000,8192
2147483648,461.411494,1163091,1000000,11585
4294967296,405.593900,1323343,1000000,16384
8589934592,443.765222,1209550,1000000,23170
17179869184,401.410590,2674595,1000000,32768
34359738368,409.769037,5240050,1000000,46340
