LOADS,HITS,HIT_RATIO,ARRAY_SIZE
1728060000,1728055000,99.9997,1
1728060000,1728055000,99.9997,1
1786781000,1786772000,99.9995,2
2491427000,2491413000,99.9994,3
2151687000,2151674000,99.9994,5
1663050000,1663036000,99.9992,7
2384472000,2384430000,99.9982,10
1620058000,1620020000,99.9977,14
2456825000,2455298000,99.9378,21
1865952000,1862239000,99.801,31
2798142000,2574573000,92.0101,45
2023506000,1475939000,72.9397,65
1518217000,1376931000,90.694,96
2222865000,2031276000,91.381,140
1646211000,1402769000,85.212,205
606594500,543601600,89.6153,299
898071500,750612000,83.5804,438
655625600,372743200,56.8531,640
959781200,286059300,29.8046,936
708221600,195620900,27.6214,1369
1038366000,310463700,29.8993,2003
757426000,210475500,27.7883,2929
1114040000,295796800,26.5517,4283
816772100,215563300,26.3921,6264
596950300,180634000,30.2595,9161
436678200,100372600,22.9855,13398
639413300,94077800,14.7131,19593
467963900,60015850,12.8249,28654
342398400,40489790,11.8253,41905
250412000,21039450,8.40193,61284
183103600,13099440,7.15411,89625
268022400,18945230,7.06852,131072
