LOADS,HITS,HIT_RATIO,ARRAY_SIZE
2969576000,2969569000,99.9998,1
2969576000,2969569000,99.9998,1
3011519000,3011509000,99.9997,2
4362087000,4362074000,99.9997,3
3934267000,3934252000,99.9996,5
3112182000,3112171000,99.9996,7
4525665000,4525639000,99.9994,10
3103794000,3103772000,99.9993,14
2448957000,2445644000,99.8647,21
3726129000,3719149000,99.8127,31
2742037000,2719472000,99.1771,45
4046732000,4024222000,99.4437,65
3037212000,3022300000,99.509,96
4447552000,4429408000,99.592,140
3293983000,3281231000,99.6129,205
2427530000,2416858000,99.5604,299
3572154000,3550620000,99.3972,438
2623582000,2610758000,99.5112,640
3840541000,3810322000,99.2132,936
2833797000,2825576000,99.7099,1369
2077304000,2071763000,99.7333,2003
3030418000,3024056000,99.7901,2929
2224251000,2206444000,99.1994,4283
3262458000,3256987000,99.8323,6264
2384997000,2375393000,99.5973,9161
3490020000,3483306000,99.8076,13398
2555580000,2552446000,99.8774,19593
1871964000,1869494000,99.8681,28654
2737614000,2734003000,99.8681,41905
2003333000,2001508000,99.9089,61284
2929664000,2921314000,99.715,89625
2144166000,2133506000,99.5028,131072
