ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1048576,885.776729,1193337,1000000,256
2097152,939.986029,1129467,1000000,362
3145728,930.518600,1712151,1000000,443
3145728,930.129089,1712868,1000000,443
5242880,952.634510,1396958,1000000,572
7340032,920.886938,1013284,1000000,677
9437184,895.567675,1341804,1000000,768
12582912,906.271950,1765940,1000000,886
17825792,837.080060,1356406,1000000,1055
24117248,787.380514,1951585,1000000,1227
32505856,641.301730,1616655,1000000,1425
45088768,585.428205,1228328,1000000,1678
61865984,557.425303,1771480,1000000,1966
83886080,538.982356,1242132,1000000,2289
114294784,544.123992,1677006,1000000,2672
157286400,533.051250,1178506,1000000,3135
214958080,538.128127,1595762,1000000,3665
293601280,532.410326,1101524,1000000,4283
401604608,537.345503,1493568,1000000,5010
549453824,549.953674,1996745,1000000,5860
750780416,537.531299,1395866,1000000,6850
1026555904,508.068220,1009503,1000000,8009
1404043264,523.389253,1340543,1000000,9367
1919942656,524.970762,1827855,1000000,10954
2626682880,501.824087,1307997,1000000,12812
3591372800,523.260204,1715402,1000000,14982
4911529984,521.214349,1177559,1000000,17520
6717177856,486.947023,1723872,1000000,20489
9185525760,496.809834,1155343,1000000,23960
12561940480,501.662385,1564814,1000000,28020
17179869184,499.923288,2147551,1000000,32768
