ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1048576,840.889571,1257038,1000000,256
2097152,887.022300,1196907,1000000,362
3145728,853.531559,1866584,1000000,443
3145728,864.964894,1841911,1000000,443
5242880,881.323399,1509991,1000000,572
7340032,870.914090,1071426,1000000,677
9437184,885.818289,1356572,1000000,768
12582912,877.488745,1823866,1000000,886
17825792,813.090868,1396425,1000000,1055
24117248,781.157146,1967133,1000000,1227
32505856,641.678802,1615705,1000000,1425
45088768,582.299890,1234927,1000000,1678
61865984,553.260577,1784815,1000000,1966
83886080,569.302514,1175978,1000000,2289
114294784,568.999035,1603692,1000000,2672
157286400,554.593950,1132728,1000000,3135
214958080,560.849798,1531113,1000000,3665
293601280,553.915246,1058759,1000000,4283
401604608,541.390066,1482410,1000000,5010
549453824,532.298152,1031487,1000000,5860
750780416,491.352089,1527055,1000000,6850
1026555904,480.079142,1068358,1000000,8009
1404043264,478.477031,1466373,1000000,9367
1919942656,475.734810,1008514,1000000,10954
2626682880,469.431112,1398255,1000000,12812
3591372800,476.009756,1885679,1000000,14982
4911529984,471.364678,1302093,1000000,17520
6717177856,448.145264,1873130,1000000,20489
9185525760,446.228702,1286304,1000000,23960
12561940480,456.519627,1719550,1000000,28020
17179869184,444.022998,2417917,1000000,32768
