ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1048576,898.660162,1176229,1000000,256
2097152,947.322436,1120720,1000000,362
3145728,930.072618,1712972,1000000,443
3145728,931.002004,1711262,1000000,443
5242880,952.725216,1396825,1000000,572
7340032,921.597269,1012503,1000000,677
9437184,897.591229,1338779,1000000,768
12582912,907.709120,1763144,1000000,886
17825792,839.303301,1352813,1000000,1055
24117248,788.854271,1947939,1000000,1227
32505856,641.554120,1616019,1000000,1425
45088768,588.523838,1221867,1000000,1678
61865984,558.214028,1768977,1000000,1966
83886080,579.169261,1155944,1000000,2289
114294784,580.401186,1572187,1000000,2672
157286400,565.737612,1110416,1000000,3135
214958080,563.506289,1523895,1000000,3665
293601280,553.167594,1060190,1000000,4283
401604608,545.219894,1471997,1000000,5010
549453824,579.137582,1896125,1000000,5860
750780416,476.788550,1573699,1000000,6850
1026555904,498.602457,1028668,1000000,8009
1404043264,484.675398,1447620,1000000,9367
1919942656,491.643661,1951760,1000000,10954
2626682880,442.065067,1484814,1000000,12812
3591372800,473.608159,1895241,1000000,14982
4911529984,468.612586,1309740,1000000,17520
6717177856,454.388856,1847392,1000000,20489
9185525760,448.824359,1278865,1000000,23960
12561940480,457.970869,1714101,1000000,28020
17179869184,468.226573,2292930,1000000,32768
