ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize
1048576,893.875516,1182525,1000000,256
2097152,885.524855,1198931,1000000,362
3145728,868.536344,1834337,1000000,443
3145728,888.115351,1793898,1000000,443
5242880,886.916882,1500468,1000000,572
7340032,862.725882,1081595,1000000,677
9437184,847.703345,1417567,1000000,768
12582912,875.591012,1827819,1000000,886
17825792,829.432729,1368912,1000000,1055
24117248,772.455340,1989293,1000000,1227
32505856,665.049943,1558926,1000000,1425
45088768,590.233867,1218327,1000000,1678
61865984,576.628906,1712484,1000000,1966
83886080,576.780197,1160732,1000000,2289
114294784,580.381252,1572241,1000000,2672
157286400,575.556240,1091473,1000000,3135
214958080,576.295330,1490077,1000000,3665
293601280,582.705467,1006448,1000000,4283
401604608,584.556411,1372942,1000000,5010
549453824,587.408781,1869426,1000000,5860
750780416,585.965401,1280488,1000000,6850
1026555904,577.840134,1775219,1000000,8009
1404043264,582.463641,1204583,1000000,9367
1919942656,586.717395,1635490,1000000,10954
2626682880,564.711409,1162336,1000000,12812
3591372800,582.108245,1541984,1000000,14982
4911529984,580.088265,1058047,1000000,17520
6717177856,525.577390,1597166,1000000,20489
9185525760,573.655339,2001152,1000000,23960
12561940480,566.298269,1386210,1000000,28020
17179869184,530.072137,2025405,1000000,32768
