ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize,NumberOfThreads
4294967296,588.709665,1823445,1000000,16384,1
4294967296,1073.289724,1000177,1000000,16384,2
4294967296,794.033207,1351933,1000000,16384,3
4294967296,954.893395,1124188,1000000,16384,4
4294967296,1032.481905,1039708,1000000,16384,5
4294967296,1040.008076,1032184,1000000,16384,6
4294967296,1021.736896,1050642,1000000,16384,7
4294967296,983.639927,1091334,1000000,16384,8
4294967296,976.842610,1098928,1000000,16384,9
4294967296,868.838653,1235534,1000000,16384,10
4294967296,738.002300,1454575,1000000,16384,11
4294967296,1483.087777,1447628,1000000,16384,12
4294967296,1294.625719,1658363,1000000,16384,13
4294967296,930.237131,1153985,1000000,16384,14
4294967296,815.679965,1316055,1000000,16384,15
4294967296,537.421567,1997463,1000000,16384,16
4294967296,481.430684,1114885,1000000,16384,17
4294967296,416.783996,1287813,1000000,16384,18
4294967296,358.612165,1496714,1000000,16384,19
4294967296,265.380151,2022532,1000000,16384,20
