ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,EdgeSize,NumberOfThreads
4294967296,519.191688,1033799,1000000,16384,1
4294967296,609.543062,1761122,1000000,16384,2
4294967296,855.717891,2508957,1000000,16384,3
4294967296,1401.253119,1532171,1000000,16384,4
4294967296,1235.952442,1737089,1000000,16384,5
4294967296,1282.550114,1673977,1000000,16384,6
4294967296,1335.877413,1607153,1000000,16384,7
4294967296,1293.429286,1659897,1000000,16384,8
4294967296,1345.481579,1595681,1000000,16384,9
4294967296,1328.045418,1616631,1000000,16384,10
4294967296,1462.741552,1467764,1000000,16384,11
4294967296,1415.991838,1516223,1000000,16384,12
4294967296,1425.681473,1505918,1000000,16384,13
4294967296,1413.491556,1518905,1000000,16384,14
4294967296,1410.770151,1521835,1000000,16384,15
4294967296,1394.021755,1540119,1000000,16384,16
4294967296,1445.987858,1484770,1000000,16384,17
4294967296,1414.115333,1518235,1000000,16384,18
4294967296,1425.962704,1505621,1000000,16384,19
4294967296,1445.835949,1484926,1000000,16384,20
